source	target
The race began at 1:19 PM EDT -LRB- 1719 UTC -RRB- , with Kevin Harvick holding pole position , his series-high fourth of the season .	subject<is>Wittgenstein<and>relation<is>said<and>object<is>`` the house I built for Gretl is the product of a decidedly sensitive ear and good manners , and expression of great understanding ... But primordial life , wild life striving to erupt into the open - that is lacking . ''
The group started their trip to the ISS on July 15 launching from the Baikonur Cosmodrome in Kazakhstan .	subject<is>the servant<and>relation<is>would work for<and>object<is>an employer for a term of at least a year<then>subject<is>the employer<and>relation<is>agreed to pay for<and>object<is>the servant's voyage to the colony<then>subject<is>the employer<and>relation<is>possibly pay for<and>object<is>the return to the country of origin<then>subject<is>the employer<and>relation<is>pay<and>object<is>the employee a wage as well
But in fact , the North Koreans tightly controlled Kaesong to capture its gains and limit spillovers .	subject<is>Around 300 people<and>relation<is>were evacuated<and>object<is>
The Digambara sect of Jainism maintains that the Agamas were lost during the same famine in which the purvas were lost .	subject<is>These<and>relation<is>are to be replanted to replace<and>object<is>the native flora
In the United States , the Centers for Disease Control and Prevention -LRB- CDC -RRB- and the Department for Children and Families -LRB- DCF -RRB- define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .	subject<is>The aim<and>relation<is>is to repel<and>object<is>young people who become irritated by the noise<then>subject<is>The aim<and>relation<is>is to repel<and>object<is>as a prevention method against graffiti<then>subject<is>The aim<and>relation<is>is to repel<and>object<is>loitering<then>subject<is>The aim<and>relation<is>is to repel<and>object<is>other crimes like theft
South Africa 's policies were subject to international scrutiny in 1960 , when Macmillan criticised them during his celebrated Wind of Change speech in Cape Town .	subject<is>The bill<and>relation<is>makes it legal for<and>object<is>gay couples to adopt children<then>subject<is>The bill<and>relation<is>is scheduled to return to<and>object<is>the lower house next Wednesday
Hitler envisioned widespread car ownership as part of the new Germany .	subject<is>Verwoerd<and>relation<is>announced<and>object<is>a referendum on whether the country should become a republic
Other applications of demand and supply include the distribution of income among the factors of production , including labour and capital , through factor markets .	subject<is>The latter<and>relation<is>also became<and>object<is>the 38th Governor of California
Earlier this week , the chief whip Sir George Young suspended the whip -LRB- expelled her from the party -RRB- until she returns to the United Kingdom .	subject<is>Current farming methods<and>relation<is>have resulted in<and>object<is>over-stretched water resources<then>subject<is>Current farming methods<and>relation<is>have resulted in<and>object<is>high levels of erosion<then>subject<is>Current farming methods<and>relation<is>have resulted in<and>object<is>reduced soil fertility
At this point Noosa rumbled over through a series of about ten rucks .	subject<is>Gerard Biard<and>relation<is>is<and>object<is>the editor-in-chief of Charlie Hebdo<then>subject<is>Gerard Biard<and>relation<is>stated<and>object<is>I don't understand how people can attack a newspaper with heavy weapons
Millionaires are days away from getting a # 40,000 tax cut from the Tories , but George Osborne is using the budget to attack hard-working public sector workers .	subject<is>UKIP<and>relation<is>will be strengthened in<and>object<is>some key constituencies
A second man was formally charged yesterday for the killing of Lee Rigby , who was stabbed repeatedly on May 22 in the Woolwich area of south London .	subject<is>The public<and>relation<is>was given<and>object<is>limited access to the still-active construction site
Soon German aircraft production could not keep pace with losses , and without air cover , the Allied bombing campaign became even more devastating .	subject<is>The dam<and>relation<is>replaces<and>object<is>an old dam<then>subject<is>an old dam<and>relation<is>first built in<and>object<is>1911<then>subject<is>an old dam<and>relation<is>subsequently expanded<and>object<is>several times
George Osborne revealed plans to improve the housing market , including a `` Help to Buy '' shared equity scheme which would offer buyers who can place a 5 % deposit on a new house , a 20 % loan to buy it .	subject<is>Results of NCLAN studies<and>relation<is>show<and>object<is>dicot species lose more yield from ozone than do monocot species<then>subject<is>NCLAN studies<and>relation<is>published in<and>object<is>a paper by AS Heagle in 1989<then>subject<is>dicot species<and>relation<is>include<and>object<is>soybean, cotton, and peanut<then>subject<is>monocot species<and>relation<is>include<and>object<is>sorghum, field corn, and winter wheat
Although the Nazis won the greatest share of the popular vote in the two Reichstag general elections of 1932 , they did not have a majority , so Hitler led a short-lived coalition government formed by the NSDAP and the German National People 's Party .	subject<is>the chance of not rolling a six on a six-sided die<and>relation<is>is<and>object<is>1<then>subject<is>the chance of not rolling a six on a six-sided die<and>relation<is>is<and>object<is>chance of rolling a six
Svetambara monks carry a rajoharan -LRB- a broom-like object made from dense , thick thread strands -RRB- .	subject<is>Some early Americans<and>relation<is>used<and>object<is>trees or bamboo poles to cross small caverns or wells to get from one place to another
Supporters of marriage equality in Maine stated they had 250,000 one-on-one conversations with voters .	subject<is>he<and>relation<is>presented<and>object<is>his plan for the Ville Contemporaine<then>subject<is>his plan for the Ville Contemporaine<and>relation<is>is<and>object<is>a model city for three million people<then>subject<is>a model city for three million people<and>relation<is>would live and work in<and>object<is>a group of identical sixty-story tall apartment buildings surrounded by lower zig-zag apartment blocks and a large park
The incident follows an investigation from Sky News finding nearly 1,000 United Kingdom pupils in the past three years were caught in schools with weapons .	subject<is>The titular ebony horse<and>relation<is>can fly the distance of<and>object<is>one year in a single day<then>subject<is>The titular ebony horse<and>relation<is>is used as a vehicle by<and>object<is>the Prince of Persia, Qamar al-Aqmar<then>subject<is>the Prince of Persia, Qamar al-Aqmar<and>relation<is>in his adventures across<and>object<is>Persia, Arabia and Byzantium
US President Barack Obama gave a statement condemning the attack : `` France is America 's oldest ally , and has stood shoulder to shoulder with the United States in the fight against terrorists who threaten our shared security and the world .	subject<is>Malaysia Airlines Flight 17<and>relation<is>was shot down near<and>object<is>the Ukraine -- Russia border<then>subject<is>Malaysia Airlines Flight 17<and>relation<is>was shot down on<and>object<is>July 17
Understanding why historic events took place is important .	subject<is>Austria<and>relation<is>ranked<and>object<is>12th<then>subject<is>Austria<and>relation<is>had<and>object<is>20.8 million tourists
I have been to NK , and I can say positively that the scientists will be monitored and accompanied at all times they are away from their hotels .	subject<is>Several problems<and>relation<is>arose during<and>object<is>the preparation of the trip<then>subject<is>Several problems<and>relation<is>included<and>object<is>lack of money<then>subject<is>Several problems<and>relation<is>included<and>object<is>the king of Portugal trying to stop them<then>subject<is>Several problems<and>relation<is>included<and>object<is>Magellan and other Portuguese incurring suspicion from the Spanish<then>subject<is>Several problems<and>relation<is>included<and>object<is>the difficult nature of Faleiro
Throughout history , torture has been used as a method of political re-education , interrogation , punishment , and coercion .	subject<is>The house<and>relation<is>was finished by<and>object<is>December 1928<then>subject<is>the family<and>relation<is>gathered there at<and>object<is>Christmas<then>subject<is>the family<and>relation<is>gathered there at<and>object<is>Christmas to celebrate its completion
The ANC and the government could not reach a compromise on how power should be shared during the transition to democracy .	subject<is>His incarnation , earthly ministry , crucifixion , and resurrection<and>relation<is>are often referred to as<and>object<is>`` the gospel ''<then>subject<is>`` the gospel ''<and>relation<is>meaning<and>object<is>`` good news ''
Members of the right wing UMP have responded to the change with outrage , with UMP politician Hervé Mariton calling for a boycott .	subject<is>Amber Merritt<and>relation<is>said of playing<and>object<is>Canada<then>subject<is>Amber Merritt<and>relation<is>have<and>object<is>utmost respect for Canada
When Mvoko refused to hand over the phone he was reportedly threatened with a gun .	subject<is>US Navy<and>relation<is>said<and>object<is>the incident occurred at 2:25 a.m. local time about 130 km east-southeast of the province of Palawan in the Philippines and about 98 nautical miles from Puerto Princesa , the capital of the province
Since the stay began in 2006 , 122 convicts have been added to death row , including militants .	subject<is>Monk<and>relation<is>comments that<and>object<is>the same might be said of the technically excellent , but austere , terracotta sculpture Wittgenstein had modelled of Marguerite Respinger in 1926<then>subject<is>Russell<and>relation<is>first noticed<and>object<is>this `` wild life striving to be in the open '' was precisely the substance of Wittgenstein 's philosophical work
The status of South Tyrol was a lingering problem between Austria and Italy until it was officially settled by the 1980s with a great degree of autonomy being granted to it by the Italian national government .	subject<is>The cover<and>relation<is>contained<and>object<is>the headline `` Love is stronger than hate ''<then>subject<is>The cover<and>relation<is>contained<and>object<is>-LRB- -LRB- fr -RRB- -RRB- French language : L'Amour plus fort que la haine
He separated the different acids that , in combination with the alkali , produced the soap .	subject<is>Additional contributions<and>relation<is>come from<and>object<is>water sources on land<then>subject<is>Additional contributions<and>relation<is>come from<and>object<is>melting snow<then>subject<is>Additional contributions<and>relation<is>come from<and>object<is>glaciers<then>subject<is>Additional contributions<and>relation<is>come from<and>object<is>extraction of groundwater for irrigation<then>subject<is>Additional contributions<and>relation<is>come from<and>object<is>other agricultural and human needs
The king 's pyramid has three smaller queen 's pyramids associated with it and five boat pits .	subject<is>engagement<and>relation<is>can occur in<and>object<is>nonpolitical, technical areas<then>subject<is>engagement<and>relation<is>can occur in<and>object<is>areas like this most easily
Pope Francis used today 's address in St. Peter 's Square , the Vatican to say he was praying for the missing .	subject<is>The Great Australian Bight<and>relation<is>was unnamed in<and>object<is>the 1928 edition<then>subject<is>The Great Australian Bight<and>relation<is>was delineated as shown in<and>object<is>the figure above in the 1937 edition
In a statement , the company cited the death of store co-founder Ann MacCallum as primary reason for the decision .	subject<is>Mandela<and>relation<is>open support of<and>object<is>predominantly white rugby fraternity<then>subject<is>Mandela<and>relation<is>was considered instrumental in bringing together<and>object<is>South African sports fans of all races
Our flag is at half staff today for a Deputy in the low country who died going to help his fellow Deputy .	subject<is>he<and>relation<is>had commented that<and>object<is>the fate of the most far-flung settlements in Gaza, Netzararem and Kfar Darom, was regarded in the same light as that of Tel Aviv
The usual method for periodisation of the distant prehistoric past , in archaeology is to rely on changes in material culture and technology , such as the Stone Age , Bronze Age and Iron Age and their sub-divisions also based on different styles of material remains .	subject<is>Titley<and>relation<is>can not comment directly on<and>object<is>how the Indian government was prepared for this cyclone
The dialogue Ion suggests that Homer 's Iliad functioned in the ancient Greek world as the Bible does today in the modern Christian world : as divinely inspired literature that can provide moral guidance , if only it can be properly interpreted .	subject<is>USA<and>relation<is>had<and>object<is>first possession<then>subject<is>USA<and>relation<is>chalked up<and>object<is>first score
Portugal , Colombia and Uruguay each moved up one to be ranked third , fourth and fifth respectively .	subject<is>translation<and>relation<is>has often been used<and>object<is>restricted relativity<then>subject<is>special<and>relation<is>really means<and>object<is>special case
Malaysian Prime Minister Najib Razak called the news `` Very sad to hear -LSB- ... -RSB- My thoughts are with the families .	subject<is>friction<and>relation<is>reduces<and>object<is>strength<then>subject<is>friction<and>relation<is>is<and>object<is>stronger over land<then>subject<is>friction<and>relation<is>is<and>object<is>much stronger over land<then>subject<is>friction<and>relation<is>quickly reduces<and>object<is>strength
In the United States after World War I , a strong movement emerged at the university level to teach courses in Western Civilization , so as to give students a common heritage with Europe .	subject<is>The colour<and>relation<is>stands for<and>object<is>non-stealing<then>subject<is>The colour<and>relation<is>stands for<and>object<is>achaurya
This was followed by a demonstration of the sport by the Lord Mayor of London Boris Johnson and British actress Barbara Windsor , with the arena commentator noting Johnson is a surprisingly good player .	subject<is>the original / k /<and>relation<is>is preserved in<and>object<is>Norse mythology<then>subject<is>the original / k /<and>relation<is>is manifested as<and>object<is>the legendary king Kjárr
For example , during meetings of the Vienna Circle , he would express his disagreement with the group 's misreading of his work by turning his back to them and reading poetry aloud .	subject<is>Five people<and>relation<is>have been seriously injured in<and>object<is>the attack
Votes for a similar measure in Washington are still being counted .	subject<is>vigorous police action and strict enforcement of security legislation<and>relation<is>resulted in<and>object<is>hundreds of arrests and bans<then>subject<is>vigorous police action and strict enforcement of security legislation<and>relation<is>resulted in<and>object<is>an effective end to the ANC's sabotage campaign
In a typical example , expressing feelings of happiness to oneself from Night 203 , Prince Qamar Al-Zaman , standing outside the castle , wants to inform Queen Bodour of his arrival .	subject<is>John<and>relation<is>putting in<and>object<is>some ads in the local newspaper<then>subject<is>John<and>relation<is>seeing if<and>object<is>anyone would be interested in auditioning for the film
Australia rose four places to be ranked 59th .	subject<is>Pliny<and>relation<is>also noted<and>object<is>barley was a special food of gladiators known as hordearii<then>subject<is>barley<and>relation<is>was<and>object<is>a special food of gladiators known as hordearii<then>subject<is>gladiators<and>relation<is>known as<and>object<is>hordearii<then>subject<is>gladiators<and>relation<is>known as<and>object<is>barley-eaters
In 1450 the Count of Clermont and Arthur de Richemont , Earl of Richmond , of the Montfort family -LRB- the future Arthur III , Duke of Brittany -RRB- , caught an English army attempting to relieve Caen and defeated it at the Battle of Formigny .	subject<is>Cyclone Phailin<and>relation<is>can not be considered<and>object<is>unusual<then>subject<is>storms<and>relation<is>have occurred in<and>object<is>the past
Schools in the Blue Mountains were evacuated last night , with many residents seeking refuge at emergency evacuation centres around the area .	subject<is>The game<and>relation<is>went down to<and>object<is>the last second<then>subject<is>USA<and>relation<is>missing<and>object<is>a shot from inside the paint<then>subject<is>the shot clock<and>relation<is>ran out<and>object<is>
He returned the following year , better prepared and with a larger force , and achieved more .	subject<is>machines<and>relation<is>become<and>object<is>increasingly capable<then>subject<is>mental facilities<and>relation<is>once thought to require<and>object<is>intelligence<then>subject<is>definition<and>relation<is>are removed from<and>object<is>the definition
For example , a carbonyl compound can be used as a nucleophile by converting it into an enolate , or as an electrophile ; the combination of the two is called the aldol reaction .	subject<is>announcement<and>relation<is>sees<and>object<is>some newly placed ministers making their cabinet debuts<then>subject<is>Senator Mathias Cormann<and>relation<is>is<and>object<is>Minister for Finance<then>subject<is>Member for Cook Scott Morrison<and>relation<is>is<and>object<is>Minister for Immigration and Border Protection
The area where the plane vanished around 40 minutes into its trip was experiencing thunderstorms .	subject<is>enlargement of the primate brain<and>relation<is>comes from<and>object<is>a massive expansion of the cerebral cortex<then>subject<is>enlargement of the primate brain<and>relation<is>comes from<and>object<is>especially the prefrontal cortex<then>subject<is>enlargement of the primate brain<and>relation<is>comes from<and>object<is>the parts of the cortex involved in vision
However , the IPCC 's projections do not reflect the full range of uncertainty .	subject<is>special equipment<and>relation<is>is able to search<and>object<is>far enough above the ocean floor<then>subject<is>special equipment<and>relation<is>shouldn't hit<and>object<is>any debris<then>subject<is>Martin Dolan<and>relation<is>of<and>object<is>Australian Transport Safety Bureau<then>subject<is>Australian Transport Safety Bureau<and>relation<is>is coordinating<and>object<is>the search
Christians differ in their views on the extent to which individuals ' salvation is pre-ordained by God .	subject<is>this switch<and>relation<is>occurs<and>object<is>relatively abruptly<then>subject<is>hyperventilation<and>relation<is>will cause<and>object<is>a severe fall in the arterial partial pressure of carbon dioxide<then>subject<is>a severe fall in the arterial partial pressure of carbon dioxide<and>relation<is>with<and>object<is>a consequent rise in the pH of the arterial plasma
In round five Caloundra won by eight points , while in round ten the teams played a 14-all draw .	subject<is>Polls<and>relation<is>have reportedly been marred by<and>object<is>a small amount of violence<then>subject<is>participation<and>relation<is>has been described as<and>object<is>high by reporters
We 've got an incredibly long fire front and there is no sign of any rain coming '' .	subject<is>The week-long celebration of women<and>relation<is>was started in<and>object<is>2006<then>subject<is>The week-long celebration of women<and>relation<is>highlight the importance of<and>object<is>women to the sport<then>subject<is>The week-long celebration of women<and>relation<is>make the game<and>object<is>female-friendlier
It was one of the first cultivated grains , particularly in Eurasia as early as 10,000 years ago .	subject<is>The first kinetoscopes<and>relation<is>arrived in<and>object<is>Belgium at the Fairs in early 1895
Gallo claimed that a virus his group had isolated from a person with AIDS was strikingly similar in shape to other human T-lymphotropic viruses -LRB- HTLVs -RRB- his group had been the first to isolate .	subject<is>The field of machine ethics<and>relation<is>is concerned with<and>object<is>giving machines ethical principles<then>subject<is>The field of machine ethics<and>relation<is>is concerned with<and>object<is>a procedure for discovering a way to resolve the ethical dilemmas they might encounter<then>subject<is>machines<and>relation<is>might encounter<and>object<is>ethical dilemmas<then>subject<is>machines<and>relation<is>enabling them to function in<and>object<is>an ethically responsible manner<then>subject<is>machines<and>relation<is>through<and>object<is>their own ethical decision making
According to a survey , the expression `` Deep Learning '' was introduced to the Machine Learning community by Rina Dechter in 1986 and gained traction after Igor Aizenberg and colleagues introduced it to Artificial Neural Networks in 2000 .	subject<is>he<and>relation<is>demonstrated<and>object<is>that it was possible to make a chemical change in various fats<then>subject<is>various fats<and>relation<is>come from<and>object<is>organic sources<then>subject<is>he<and>relation<is>producing<and>object<is>new compounds<then>subject<is>he<and>relation<is>demonstrated<and>object<is>that it was possible to make a chemical change in various fats without 'vital force'
From a mathematical point of view it is understood as a consequence of Noether 's theorem , developed by Emmy Noether in 1915 and first published in 1918 .	subject<is>two countries<and>relation<is>will agree to cooperate on<and>object<is>a number of large infrastructure projects<then>subject<is>two countries<and>relation<is>will agree to cooperate on<and>object<is>desalination and power generation<then>subject<is>this<and>relation<is>hoped to boost<and>object<is>Egypt's faltering economy
Montagnier 's group named their isolated virus lymphadenopathy-associated virus -LRB- LAV -RRB- .	subject<is>orthodox economic opinion<and>relation<is>remained generally hostile regarding<and>object<is>fiscal intervention to mitigate the depression<then>subject<is>orthodox economic opinion<and>relation<is>remained generally hostile regarding<and>object<is>fiscal intervention<then>subject<is>orthodox economic opinion<and>relation<is>remained generally hostile regarding<and>object<is>mitigate the depression<then>subject<is>orthodox economic opinion<and>relation<is>remained generally hostile regarding<and>object<is>fiscal intervention to mitigate the depression until just before the outbreak of war
Conservative MP Sir Tony Baldry joked : `` In the ’83 general election , a 13-year-old boy delivered leaflets around my constituency pledging that -LSB- then-Labour MP -RSB- Michael Foot would take Labour out of the European Union .	subject<is>Australia's National Rugby League<and>relation<is>is to celebrate<and>object<is>`` Women in League '' week<then>subject<is>`` Women in League '' week<and>relation<is>starting<and>object<is>yesterday<then>subject<is>`` Women in League '' week<and>relation<is>includes<and>object<is>sons<then>subject<is>`` Women in League '' week<and>relation<is>includes<and>object<is>raising funds for breast cancer support<then>subject<is>`` Women in League '' week<and>relation<is>includes<and>object<is>club-related specials to encourage women to attend rugby league games
In the early 2000s , in an industrial application CNNs already processed an estimated 10 % to 20 % of all the checks written in the US .	subject<is>Plans<and>relation<is>were formalised at<and>object<is>Wannsee Conference<then>subject<is>Wannsee Conference<and>relation<is>on<and>object<is>20 January 1942<then>subject<is>Plans<and>relation<is>for the total eradication of<and>object<is>Jewish population of Europe<then>subject<is>Jewish population of Europe<and>relation<is>of<and>object<is>eleven million people
This comes after a 0.6 % contraction last year and marks a reversal from the committee 's previous prediction of 0.1 % growth in 2013 .	subject<is>people<and>relation<is>have survived for<and>object<is>as long as two hours without air<then>subject<is>this<and>relation<is>is<and>object<is>only possible when submerged in cold water<then>subject<is>this<and>relation<is>triggers<and>object<is>the mammalian diving reflex<then>subject<is>this<and>relation<is>puts<and>object<is>the subject into a state of suspended animation
